decomp_temp,pyrol_temp,gasifier_temp,air_to_biomass_ratio,gasifier_length,gasifier_diameter,fuel_cell_temp,Acell,fuel_utilization_factor,depleted_fuel_frac,Power,CO2_emitted,H2_produced,current_density,cell_current
583.0,640.0,795.0,0.8,1.78,1.46,881.1400000000001,0.38448,0.81,0.17,1667.272286343809,1880.50376,81.64007,4519.948709406603,1737.8298797926504
497.0,630.0,755.0,0.85,2.9,1.23,958.71,0.26075,0.63,0.11,1241.2380093069175,1706.18462,78.17173,4354.912242668009,1135.5433672756833
553.0,680.0,729.0,0.82,2.12,0.53,990.3699999999999,0.29255,0.88,0.1,1950.2994574821973,2574.62102,91.5590009,6436.7202757910845,1883.0625166826817
511.0,681.0,742.0,0.78,1.42,0.88,937.1600000000001,0.37398,0.97,0.32,1893.862506678599,2602.20491,92.101707,4733.312794239557,1770.1643187897093
487.0,665.0,828.0,0.83,2.24,0.66,955.73,0.34612,0.6,0.23,1734.7702472482667,2314.66799,88.759934,4393.832975890828,1520.7934696153332
417.0,633.0,838.0,0.9,2.58,0.57,963.1199999999999,0.37265,0.62,0.24,1397.9478174888595,1753.9648,79.2627003,2938.949328079749,1095.1994671089185
412.0,646.0,707.0,0.74,2.06,0.62,875.73,0.36963,0.8,0.16,1574.1023187269475,1927.74322,81.68544,4560.083994796799,1685.5438469967407
467.0,658.0,706.0,0.74,2.82,1.28,924.94,0.37305,0.67,0.2,1392.4892262407084,2159.08431,85.8643012,3186.8934551416896,1188.8706034406073
438.0,641.0,719.0,0.9,1.78,0.57,894.8800000000001,0.3941,0.99,0.21,1880.5460851253433,1842.30711,80.1438835,4909.625043182103,1934.8832295180666
415.0,650.0,748.0,0.65,1.36,0.77,996.1500000000001,0.34864,0.82,0.11,1885.6077690803797,2004.77731,83.1331009,4461.790828209029,1555.558754346796
524.0,617.0,864.0,0.98,1.15,1.68,947.8900000000001,0.25294,0.75,0.31,1304.1189283025406,1555.84555,75.5472222,5000.426345509585,1264.8078398331945
459.0,664.0,779.0,0.88,1.98,0.69,964.54,0.37338,0.83,0.33,2013.4793603096057,2273.2484,87.598377,4720.035569887827,1762.3668810847166
594.0,665.0,829.0,0.75,1.41,1.15,889.3900000000001,0.30017,0.99,0.27,1760.8699831651427,2328.51927,89.2164205,8117.411093441218,2436.6032879182503
574.0,655.0,755.0,0.64,1.15,0.9,871.6199999999999,0.2743,0.77,0.15,1350.854521336483,2098.23126,84.7510616,6409.135419287979,1758.0258455106925
492.0,653.0,727.0,0.72,1.12,0.7,851.01,0.34642,0.88,0.25,1556.0974086660683,2051.69005,83.7800719,5503.601679092304,1906.557693671156
410.0,637.0,783.0,0.9,1.26,1.89,885.6199999999999,0.38797,0.71,0.31,1549.225344335016,1829.13764,80.6462125,3811.3435934844947,1478.6869739641793
455.0,694.0,864.0,0.71,1.94,1.19,875.5799999999999,0.34163,0.75,0.32,1217.0537334988514,2934.72009,97.9171169,3395.055883939171,1159.852941630139
572.0,604.0,788.0,0.96,1.55,0.67,881.1800000000001,0.28052,0.83,0.33,1535.787363878623,1328.17149,69.3004555,7821.287128939576,2194.02746541013
578.0,648.0,760.0,0.65,1.15,1.67,982.96,0.28226,0.88,0.26,1924.9261471591474,1998.73878,83.5710315,6887.130963100949,1943.9615856448738
449.0,623.0,898.0,0.84,1.87,0.73,876.3,0.25037,0.85,0.33,1304.5345452818624,1626.15664,77.4778828,7187.910227347968,1799.6370836211108
580.0,608.0,832.0,0.87,1.02,1.1,964.25,0.3633,0.75,0.32,1859.6686418564561,1408.41633,71.7651207,4460.479300347127,1620.4921298161112
532.0,655.0,732.0,0.68,2.7,1.68,895.1600000000001,0.3158,0.77,0.38,1513.517880836075,2127.96557,85.749873,5080.251041310956,1604.343278846
404.0,667.0,799.0,0.83,1.05,0.97,905.9000000000001,0.3438,0.79,0.38,1933.738909444329,2340.63756,88.8281654,6084.125058594258,2091.722195144706
448.0,615.0,764.0,0.98,2.16,1.2,934.5,0.30634,0.6,0.23,1637.9747683082558,1487.04332,73.4214767,5324.39352995292,1631.0747139657776
436.0,696.0,874.0,0.89,1.23,1.34,874.3800000000001,0.35474,0.83,0.27,1396.3959653052857,2975.6298,98.534893,4160.856258797883,1476.0221492459611
428.0,651.0,837.0,0.75,2.98,1.51,869.6700000000001,0.35054,0.72,0.19,1488.0345975118144,2100.78588,85.7272758,4642.038860118293,1627.2203020258667
425.0,635.0,856.0,0.79,2.33,1.23,975.4100000000001,0.25588,0.67,0.36,1386.9533838947693,1820.07015,80.945529,5056.135182196755,1293.7638704205056
552.0,657.0,765.0,0.82,1.25,1.34,920.1199999999999,0.36667,0.54,0.22,1483.4579143888302,2152.92694,85.9862618,3573.5859739798734,1310.3267690792002
498.0,663.0,722.0,0.61,2.95,0.55,886.25,0.35563,0.67,0.26,1347.3211544912426,2239.75502,86.8186856,3773.2009881509443,1341.8634674161203
548.0,664.0,761.0,0.93,1.78,1.49,879.49,0.27299,0.54,0.17,1086.067177621451,2294.3425,88.3298612,4263.160739561523,1163.8002502929003
404.0,651.0,898.0,0.7,2.02,1.15,955.52,0.38754,0.6,0.21,1394.1501503597062,2098.48788,86.5243631,2809.246638478322,1088.6954422758888
599.0,692.0,714.0,0.9,1.33,1.68,990.5799999999999,0.3291,0.66,0.14,1702.1959162229653,2837.63089,95.3408628,4286.293885827375,1410.619317825789
510.0,627.0,753.0,0.92,2.94,0.61,923.21,0.39969,0.76,0.23,1575.1917011653902,1632.68708,76.2718159,3396.4689641796467,1357.534680292963
489.0,668.0,759.0,0.81,1.33,0.52,862.0699999999999,0.28984,0.85,0.13,1414.9106311161058,2335.51014,88.1858567,7313.691333009785,2119.800295959556
503.0,617.0,727.0,0.72,1.05,0.94,915.6400000000001,0.35112,0.55,0.15,1212.6659579272714,1483.08547,72.9529459,3063.364554159415,1075.6085622564538
438.0,664.0,726.0,0.68,1.55,1.63,997.48,0.3314,0.84,0.13,1600.2211278206134,2279.94278,87.8792709,3963.3017261879572,1313.4381920586889
498.0,681.0,825.0,0.69,2.85,1.3,853.0899999999999,0.32141,0.76,0.14,1232.659041993017,2661.5338,93.8938326,4313.25679399975,1386.3238661594594
412.0,621.0,760.0,0.67,2.11,0.75,968.27,0.27138,0.62,0.31,1535.567959730475,1550.97525,74.6418097,5457.679761222776,1481.105133600637
406.0,691.0,830.0,0.86,1.35,0.99,872.1300000000001,0.35849,0.57,0.35,1161.0717702381921,2847.71216,96.2385276,3114.0980951684533,1116.3730261369387
562.0,697.0,791.0,0.64,2.13,1.31,866.05,0.28463,0.82,0.16,1394.1249537774165,2980.26258,97.8357902,7806.296473113789,2221.9061651423776
589.0,649.0,840.0,0.89,2.71,0.67,895.21,0.28827,0.87,0.33,1509.7593243084882,2028.52303,84.4183066,5983.750595003719,1724.9357840217224
409.0,687.0,806.0,0.72,2.06,1.37,998.46,0.32885,0.55,0.21,1570.9603561291804,2775.43865,95.3055116,3842.696561070989,1263.6707641081946
586.0,693.0,718.0,0.8,1.24,0.99,944.3499999999999,0.36151,0.55,0.1,1124.647167025569,2847.8271,95.19869,2470.767110573167,893.2070181433056
528.0,632.0,754.0,0.99,2.24,0.72,895.1300000000001,0.30513,0.56,0.28,1262.5068373908575,1709.48282,77.8254385,4089.0361855454444,1247.6876112954815
403.0,630.0,825.0,0.87,2.05,0.81,876.1099999999999,0.34632,0.56,0.28,1116.6823789669118,1712.40866,78.488251,3082.6628239355173,1067.5877891853484
499.0,625.0,835.0,0.97,1.88,1.34,873.2,0.27309,0.73,0.26,1210.5839278836165,1657.50455,77.4613519,5430.743134699746,1483.0816426551537
459.0,654.0,811.0,1.0,1.55,1.24,981.74,0.25131,0.72,0.15,1701.3235440242984,2119.2133,85.8159514,7060.239156802886,1774.308702496133
